"","sample_code","sample_type","infected_count","disease","organ","portion","branch","total_count","leaf_incidence","Shade_tree_species","Section_of_Kaweri","Coffee_Variety","distance","Shade_tree_soil_sample_CODE","distance_class","log_total_count"
"90","FIC1COF2_Kita","No_CRBD_leaves_Top_portion_2nd_branch",1,"CRBD","leaves","Top","2nd",14,0.0714285714285714,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.63905732961526
"91","FIC1COF2_Kita","No_CRBD_leaves_Top_portion_3rd_branch",0,"CRBD","leaves","Top","3rd",16,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.77258872223978
"92","FIC1COF2_Kita","No_CRBD_leaves_Top_portion_4th_branch",0,"CRBD","leaves","Top","4th",12,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.484906649788
"93","FIC1COF2_Kita","No_CRBD_berries_Top_portion_1st_branch",0,"CRBD","berries","Top","1st",11,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.39789527279837
"94","FIC1COF2_Kita","No_CRBD_berries_Top_portion_2nd_branch",2,"CRBD","berries","Top","2nd",12,0.166666666666667,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.484906649788
"95","FIC1COF2_Kita","No_CRBD_berries_Top_portion_3rd_branch",0,"CRBD","berries","Top","3rd",14,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.63905732961526
"96","FIC1COF2_Kita","No_CRBD_berries_Top_portion_4th_branch",3,"CRBD","berries","Top","4th",15,0.2,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.70805020110221
"97","FIC1COF3_Kita","No_CWD_leaves_lower_portion_1st_branch",0,"CWD","leaves","lower","1st",13,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.56494935746154
"98","FIC1COF3_Kita","No_CWD_leaves_lower_portion_2nd_branch",0,"CWD","leaves","lower","2nd",15,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.70805020110221
"99","FIC1COF3_Kita","No_CWD_leaves_lower_portion_3rd_branch",0,"CWD","leaves","lower","3rd",20,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.99573227355399
"100","FIC1COF3_Kita","No_CWD_leaves_lower_portion_4th_branch",0,"CWD","leaves","lower","4th",51,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",3.93182563272433
"101","FIC1COF3_Kita","No_CLR_leaves_lower_portion_1st_branch",5,"CLR","leaves","lower","1st",13,0.384615384615385,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.56494935746154
"102","FIC1COF3_Kita","No_CLR_leaves_lower_portion_2nd_branch",2,"CLR","leaves","lower","2nd",15,0.133333333333333,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.70805020110221
