"","Shade_tree_species","Section_of_Kaweri","sample_code","Coffee_Variety","Actual_distance_from_shade_tree_m","Shade_tree_Canopy_Cover","Shade_tree_soil_sample_CODE","Longitude","Latitude","Longitude_dd","Latitude_dd","distance_class"
"109","Fn","Kyamutuma","FIC7COF1_Kyam","Op2",3,1.33,"FIC7_Kyam","31° 27′ 42.4″ E","0° 38′ 14.3″ N",31.4617777777778,0.637305555555556,"[0-8]"
"110","Fn","Kyamutuma","FIC7COF2_Kyam","Op2",11,1.33,"FIC7_Kyam","31° 27′ 42.4″ E","0° 38′ 14.3″ N",31.4617777777778,0.637305555555556,"(8-16]"
"111","Fn","Kyamutuma","FIC7COF3_Kyam","Op2",20,1.33,"FIC7_Kyam","31° 27′ 42.4″ E","0° 38′ 14.3″ N",31.4617777777778,0.637305555555556,"(16-22]"
"112","Fn","Kyamutuma","FIC13COF1_Kyam","Op2",5,1.91,"FIC13_Kyam","31° 27′ 39.7″ E","0° 38′ 12.6″ N",31.4610277777778,0.636833333333333,"[0-8]"
"113","Fn","Kyamutuma","FIC13COF2_Kyam","Op2",11,1.91,"FIC13_Kyam","31° 27′ 39.7″ E","0° 38′ 12.6″ N",31.4610277777778,0.636833333333333,"(8-16]"
"114","Fn","Kyamutuma","FIC13COF3_Kyam","Op2",20,1.91,"FIC13_Kyam","31° 27′ 39.7″ E","0° 38′ 12.6″ N",31.4610277777778,0.636833333333333,"(16-22]"
"115","Fn","Kyamutuma","FIC14COF1_Kyam","Op2",5,36.5,"FIC14_Kyam","31° 27′ 29″ E","0° 38′ 20″ N",31.4580555555556,0.638888888888889,"[0-8]"
"116","Fn","Kyamutuma","FIC14COF2_Kyam","Op2",10,36.5,"FIC14_Kyam","31° 27′ 29″ E","0° 38′ 20″ N",31.4580555555556,0.638888888888889,"(8-16]"
"117","Fn","Kyamutuma","FIC14COF3_Kyam","Op2",21,36.5,"FIC14_Kyam","31° 27′ 29″ E","0° 38′ 20″ N",31.4580555555556,0.638888888888889,"(16-22]"
"118","Fn","Kyamutuma","FIC18COF1_Kyam","Clone C",6,52.27,"FIC18_Kyam","31° 26′ 54.3″ E","0° 37′ 57.7″ N",31.4484166666667,0.632694444444444,"[0-8]"
"119","Fn","Kyamutuma","FIC18COF2_Kyam","Clone B",11,52.27,"FIC18_Kyam","31° 26′ 54.3″ E","0° 37′ 57.7″ N",31.4484166666667,0.632694444444444,"(8-16]"
"120","Fn","Kyamutuma","FIC18COF3_Kyam","Clone C",20,52.27,"FIC18_Kyam","31° 26′ 54.3″ E","0° 37′ 57.7″ N",31.4484166666667,0.632694444444444,"(16-22]"
"121","Ac","Kyamutuma","ALB12COF1_Kyam","Op2",5,0.08,"ALB12_Kyam","31° 27′ 33.8″ E","0° 38′ 44″ N",31.4593888888889,0.645555555555556,"[0-8]"
"122","Ac","Kyamutuma","ALB12COF2_Kyam","Op2",10,0.08,"ALB12_Kyam","31° 27′ 33.8″ E","0° 38′ 44″ N",31.4593888888889,0.645555555555556,"(8-16]"
"123","Ac","Kyamutuma","ALB12COF3_Kyam","Op2",20,0.08,"ALB12_Kyam","31° 27′ 33.8″ E","0° 38′ 44″ N",31.4593888888889,0.645555555555556,"(16-22]"
"124","Ac","Kyamutuma","ALB21COF1_Kyam","Op2",5,0.4,"ALB21_Kyam","31° 27′ 32.7″ E","0° 38′ 22.2″ N",31.4590833333333,0.6395,"[0-8]"
"125","Ac","Kyamutuma","ALB21COF2_Kyam","Op2",11,0.4,"ALB21_Kyam","31° 27′ 32.7″ E","0° 38′ 22.2″ N",31.4590833333333,0.6395,"(8-16]"
"126","Ac","Kyamutuma","ALB21COF3_Kyam","Op2",20,0.4,"ALB21_Kyam","31° 27′ 32.7″ E","0° 38′ 22.2″ N",31.4590833333333,0.6395,"(16-22]"
"127","Ac","Kyamutuma","ALB22COF1_Kyam","Op2",4,7.31,"ALB22_Kyam","31° 27′ 31.7″ E","0° 38′ 22.6″ N",31.4588055555556,0.639611111111111,"[0-8]"
"128","Ac","Kyamutuma","ALB22COF2_Kyam","Op2",10,7.31,"ALB22_Kyam","31° 27′ 31.7″ E","0° 38′ 22.6″ N",31.4588055555556,0.639611111111111,"(8-16]"
"129","Ac","Kyamutuma","ALB22COF3_Kyam","Op2",20,7.31,"ALB22_Kyam","31° 27′ 31.7″ E","0° 38′ 22.6″ N",31.4588055555556,0.639611111111111,"(16-22]"
"130","Ac","Kyamutuma","ALB23COF1_Kyam","Clone A",5,0.43,"ALB23_Kyam","31° 27′ 27.7″ E","0° 38′ 25″ N",31.4576944444444,0.640277777777778,"[0-8]"
"131","Ac","Kyamutuma","ALB23COF2_Kyam","Op1",10,0.43,"ALB23_Kyam","31° 27′ 27.7″ E","0° 38′ 25″ N",31.4576944444444,0.640277777777778,"(8-16]"
"132","Ac","Kyamutuma","ALB23COF3_Kyam","Clone C",20,0.43,"ALB23_Kyam","31° 27′ 27.7″ E","0° 38′ 25″ N",31.4576944444444,0.640277777777778,"(16-22]"
"133","Ah","Kyamutuma","JAC8COF1_Kyam","Op2",3,55.35,"JAC8_Kyam","31° 27′ 35.1″ E","0° 38′ 44.2″ N",31.45975,0.645611111111111,"[0-8]"
"134","Ah","Kyamutuma","JAC8COF2_Kyam","Op2",10,55.35,"JAC8_Kyam","31° 27′ 35.1″ E","0° 38′ 44.2″ N",31.45975,0.645611111111111,"(8-16]"
"135","Ah","Kyamutuma","JAC8COF3_Kyam","Op2",19,55.35,"JAC8_Kyam","31° 27′ 35.1″ E","0° 38′ 44.2″ N",31.45975,0.645611111111111,"(16-22]"
"136","Ah","Kyamutuma","JAC16COF1_Kyam","Op2",3,7.23,"JAC16_Kyam","31° 27′ 12.2″ E","0° 38′ 21.9″ N",31.4533888888889,0.639416666666667,"[0-8]"
"137","Ah","Kyamutuma","JAC16COF2_Kyam","Op2",10,7.23,"JAC16_Kyam","31° 27′ 12.2″ E","0° 38′ 21.9″ N",31.4533888888889,0.639416666666667,"(8-16]"
